,director_and_writers,rating,title,year
100,"Gus Van Sant (dir.), Robin Williams, Matt Damon",8.3,Gênio Indomável,1997
101,"Thomas Vinterberg (dir.), Mads Mikkelsen, Thomas Bo Larsen",8.3,A Caça,2012
102,"Guy Ritchie (dir.), Jason Statham, Brad Pitt",8.3,Snatch: Porcos e Diamantes,2000
103,"Terry Gilliam (dir.), Graham Chapman, John Cleese",8.3,Monty Python em Busca do Cálice Sagrado,1975
104,"Sergio Leone (dir.), Clint Eastwood, Lee Van Cleef",8.2,Por uns Dólares a Mais,1965
105,"Brian De Palma (dir.), Al Pacino, Michelle Pfeiffer",8.2,Scarface,1983
106,"Curtis Hanson (dir.), Kevin Spacey, Russell Crowe",8.2,Los Angeles: Cidade Proibida,1997
107,"Billy Wilder (dir.), Jack Lemmon, Shirley MacLaine",8.2,Se Meu Apartamento Falasse,1960
108,"Fritz Lang (dir.), Brigitte Helm, Alfred Abel",8.2,Metrópolis,1927
109,"Asghar Farhadi (dir.), Payman Maadi, Leila Hatami",8.2,A Separação,2011
110,"Steven Spielberg (dir.), Harrison Ford, Sean Connery",8.2,Indiana Jones e a Última Cruzada,1989
111,"Akira Kurosawa (dir.), Toshirô Mifune, Machiko Kyô",8.2,Rashomon,1950
112,"Pete Docter (dir.), Edward Asner, Jordan Nagai",8.2,Up: Altas Aventuras,2009
113,"Joseph L. Mankiewicz (dir.), Bette Davis, Anne Baxter",8.2,A Malvada,1950
114,"Akira Kurosawa (dir.), Toshirô Mifune, Eijirô Tôno",8.2,Yojimbo - O Guarda-Costas,1961
115,"Christopher Nolan (dir.), Christian Bale, Michael Caine",8.2,Batman Begins,2005
116,"Billy Wilder (dir.), Marilyn Monroe, Tony Curtis",8.2,Quanto Mais Quente Melhor,1959
117,"Clint Eastwood (dir.), Clint Eastwood, Gene Hackman",8.2,Os Imperdoáveis,1992
118,"Oliver Hirschbiegel (dir.), Bruno Ganz, Alexandra Maria Lara",8.2,A Queda! As Últimas Horas de Hitler,2004
119,"John Huston (dir.), Humphrey Bogart, Walter Huston",8.2,O Tesouro da Sierra Madre,1948
120,"John McTiernan (dir.), Bruce Willis, Alan Rickman",8.2,Duro de Matar,1988
121,"Michael Mann (dir.), Al Pacino, Robert De Niro",8.2,Fogo Contra Fogo,1995
122,"Martin Scorsese (dir.), Robert De Niro, Cathy Moriarty",8.2,Touro Indomável,1980
123,"Akira Kurosawa (dir.), Takashi Shimura, Nobuo Kaneko",8.2,Viver,1952
124,"Çagan Irmak (dir.), Çetin Tekindor, Fikret Kuskan",8.2,Meu Pai e Meu Filho,2005
125,"John Sturges (dir.), Steve McQueen, James Garner",8.2,Fugindo do Inferno,1963
126,"Denis Villeneuve (dir.), Lubna Azabal, Mélissa Désormeaux-Poulin",8.2,Incêndios,2010
127,"Majid Majidi (dir.), Mohammad Amir Naji, Amir Farrokh Hashemian",8.2,Filhos do Paraíso,1997
128,"Guillermo del Toro (dir.), Ivana Baquero, Ariadna Gil",8.2,O Labirinto do Fauno,2006
129,"Carol Reed (dir.), Orson Welles, Joseph Cotten",8.2,O 3º Homem,1949
130,"Roman Polanski (dir.), Jack Nicholson, Faye Dunaway",8.2,Chinatown,1974
131,"Hayao Miyazaki (dir.), Hitoshi Takagi, Noriko Hidaka",8.2,Meu Amigo Totoro,1988
132,"Akira Kurosawa (dir.), Tatsuya Nakadai, Akira Terao",8.2,Ran,1985
133,"Stanley Kramer (dir.), Spencer Tracy, Burt Lancaster",8.2,Julgamento em Nuremberg,1961
134,"Hayao Miyazaki (dir.), Chieko Baishô, Takuya Kimura",8.2,O Castelo Animado,2004
135,"Charles Chaplin (dir.), Charles Chaplin, Mack Swain",8.2,Em Busca do Ouro,1925
136,"Juan José Campanella (dir.), Ricardo Darín, Soledad Villamil",8.2,O Segredo dos Seus Olhos,2009
137,"Martin McDonagh (dir.), Frances McDormand, Woody Harrelson",8.2,Três Anúncios para um Crime,2017
138,"David Lean (dir.), William Holden, Alec Guinness",8.2,A Ponte do Rio Kwai,1957
139,"Elia Kazan (dir.), Marlon Brando, Karl Malden",8.2,Sindicato de Ladrões,1954
140,"Ron Howard (dir.), Russell Crowe, Ed Harris",8.2,Uma Mente Brilhante,2001
141,"Guy Ritchie (dir.), Jason Flemyng, Dexter Fletcher",8.2,"Jogos, Trapaças e Dois Canos Fumegantes",1998
142,"Ingmar Bergman (dir.), Max von Sydow, Gunnar Björnstrand",8.2,O Sétimo Selo,1957
143,"Martin Scorsese (dir.), Robert De Niro, Sharon Stone",8.2,Cassino,1995
144,"Pete Docter (dir.), Amy Poehler, Bill Hader",8.2,Divertida Mente,2015
145,"Lenny Abrahamson (dir.), Brie Larson, Jacob Tremblay",8.1,O Quarto de Jack,2015
146,"Frank Capra (dir.), James Stewart, Jean Arthur",8.1,A Mulher Faz o Homem,1939
147,"David Lynch (dir.), Anthony Hopkins, John Hurt",8.1,O Homem Elefante,1980
